id,Prefecture,count,groupcount,teamcount,age
23,Aichi Ken,45,153,443,18.9111111111
5,Akita Ken,2,2,7,16.5
2,Aomori Ken,2,2,5,13.5
12,Chiba Ken,20,27,104,17.1
38,Ehime Ken,2,3,14,15
18,Fukui Ken,1,1,2,14
40,Fukuoka Ken,44,87,403,16.9318181818
7,Fukushima Ken,1,1,2,17
21,Gifu Ken,4,13,29,16.75
10,Gunma Ken,1,1,2,17
34,Hiroshima Ken,3,7,29,18
1,Hokkaido,3,6,22,16
28,Hyogo Ken,12,35,129,18.0833333333
8,Ibaraki Ken,4,6,17,17.75
17,Ishikawa Ken,1,1,2,18
3,Iwate Ken,1,1,2,15
37,Kagawa Ken,2,4,15,17
46,Kagoshima Ken,5,8,36,18.4
14,Kanagawa Ken,28,34,136,17.7142857143
39,Kochi Ken,1,1,2,17
43,Kumamoto Ken,2,3,11,13.5
26,Kyoto Fu,11,27,90,18.8181818182
24,Mie Ken,4,13,35,18.75
4,Miyagi Ken,7,9,36,18
20,Nagano Ken,1,1,2,17
42,Nagasaki Ken,2,3,14,15.5
29,Nara Ken,6,17,63,17.8333333333
15,Niigata Ken,1,1,2,17
44,Oita Ken,3,7,26,19
33,Okayama Ken,1,1,2,14
47,Okinawa Ken,1,1,2,12
27,Osaka Fu,43,115,409,17.7209302326
41,Saga Ken,2,3,9,16
11,Saitama Ken,28,43,151,20.1428571429
25,Shiga Ken,5,11,40,17.6
32,Shimane Ken,2,5,13,16.5
22,Shizuoka Ken,7,10,32,17.4285714286
9,Tochigi Ken,4,7,18,18.5
36,Tokushima Ken,1,1,2,19
13,Tokyo To,38,44,182,18.2631578947
31,Tottori Ken,1,1,2,14
16,Toyama Ken,2,2,6,17.5
30,Wakayama Ken,1,1,2,14
6,Yamagata Ken,2,2,4,14.5
35,Yamaguchi Ken,3,6,28,15
45,Miyazaki Ken,0,0,0,0
19,Yamanashi Ken,0,0,0,0
